Event #,PE,Event Date,Month,CY,Fiscal Month,Fiscal Year,Squadron,T/M/S,Buno,Class,PEAT Severity,HAZREP / WESS - RMI ID,MOFE 45 Due Date,MOFE 90 Due Date,Part A,Part B,Part C,Part D,Final Summary Report,Status,Category,Circumstances,Buno Occurances,ITEM,ITEM 2,ITEM 3, ALSS Issues,RECOMMENDATIONS,,
24,Yes,2/8/2011,2,2011,5,2011,VMFA-312,F/A-18C,164962,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
25,Yes,2/10/2011,2,2011,5,2011,VFA-86,F/A-18C,165171,HAZREP,Severe,1297705414185,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
33,Yes,2/20/2011,2,2011,5,2011,VFA-87,F/A-18A,162846,HAZREP,Minor,1297200651093,,,No,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
29,Yes,3/8/2011,3,2011,6,2011,VFA-22,F/A-18F,166804,HAZREP,Moderate Low,1301922317471,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
30,Yes,3/12/2011,3,2011,6,2011,VAQ-132,EA-18G,166896,HAZREP,Minor,1299935283171,,,Yes,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
34,Yes,3/15/2011,3,2011,6,2011,VMFAT-101,F/A-18C,163509,HAZREP,Moderate Low,1300305847688,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
31,Yes,3/17/2011,3,2011,6,2011,VX-23,F/A-18C,164869,,Minor,1300891280768,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
,No,3/26/2011,3,2011,6,2011,VFA-37,F/A-18C,165175,HAZREP,,1301423162829,,,N/A,N/A,N/A,,N/A,Closed,ECS,Dual Bleed,1,,,,,,,
32,Yes,3/31/2011,3,2011,6,2011,VFA-102,F/A-18F,166920,HAZREP,Moderate Low,,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
35,Yes,4/12/2011,4,2011,7,2011,VFA-81,F/A-18E,166830,HAZREP,Minor,1306674383280,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
36,Yes,4/12/2011,4,2011,7,2011,VMFAT-101,F/A-18D,163447,HAZREP,Minor,1303269271050,,,Yes,No,No,,N/A,Closed,Other,Human Factors,1,,,,,,,
37,Yes,4/26/2011,4,2011,7,2011,VMFA(AW)-242,F/A-18D,164674,HAZREP,Minor,1303970144040,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
38,Yes,5/10/2011,5,2011,8,2011,VFA-122,F/A-18E,166950,HAZREP,Minor,1306954593676,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
39,Yes,5/10/2011,5,2011,8,2011,VFA-83,F/A-18C,165174,HAZREP,Minor,1305898597972,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
,No,6/6/2011,6,2011,9,2011,VT-10,T-6A,,HAZREP,,1308580219727,,,N/A,N/A,N/A,,N/A,Closed,,,0,,,,,,,
,No,6/7/2011,6,2011,9,2011,VFA-97,F/A-18C,163987,HAZREP,,1310702324898,,,N/A,N/A,N/A,,N/A,Closed,AOS,LOX Pressure Relief Valve Failure,1,,,,,,,
40,Yes,6/14/2011,6,2011,9,2011,VMFA(AW)-224,F/A-18D,164901,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
,No,7/14/2011,7,2011,10,2011,VT-10,T-6A,165991,HAZREP,,1313718422620,,,N/A,N/A,N/A,,N/A,Closed,,,1,,,,,,,
,No,7/15/2011,7,2011,10,2011,VT-10,T-6A,165973,HAZREP,,1315333479445,,,N/A,N/A,N/A,,N/A,Closed,,,1,,,,,,,
,No,8/25/2011,8,2011,11,2011,VT-10,T-6A,165989,HAZREP,,1315337012524,,,N/A,N/A,N/A,,N/A,Closed,,,1,,,,,,,
42,Yes,9/20/2011,9,2011,12,2011,VFA-122,F/A-18F,166924,HAZREP,Moderate High,1316794207826,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
41,Yes,9/21/2011,9,2011,12,2011,VMFA(AW)-224,F/A-18D,164886,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
43,Yes,9/22/2011,9,2011,12,2011,VFA-122,F/A-18E,166958,HAZREP,Moderate Low,1317138422953,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
44,Yes,10/6/2011,10,2011,1,2012,VMFA-323,F/A-18C,164722,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
46,Yes,10/26/2011,10,2011,1,2012,VFA-94,F/A-18C,164223,HAZREP,Moderate High,,,,Yes ,Yes,Yes,,N/A,Closed,Other,Inconclusive,1,,,,,,,
45,Yes,11/1/2011,11,2011,2,2012,VFA-41,F/A-18F,166851,HAZREP,Minor,1321042517288,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
47,Yes,11/4/2011,11,2011,2,2012,VFA-213,F/A-18F,166684,HAZREP,Moderate High,1320661079821,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
48,Yes,11/14/2011,11,2011,2,2012,VX-9,F/A-18F,166925,HAZREP,Unknown,,,,Yes,Yes,No,,N/A,Closed,Other,Human Factors,2,,,,,,,
49,Yes,11/18/2011,11,2011,2,2012,VFA-122,F/A-18F,166965,HAZREP,Minor,1321896514947,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
51,Yes,11/29/2011,11,2011,2,2012,VFA-151,F/A-18C,164719,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
50,Yes,11/30/2011,11,2011,2,2012,VFA-2,F/A-18F,165911,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
52,Yes,12/9/2011,12,2011,3,2012,VFA-34,F/A-18C,165408,HAZREP,Minor,1322854274965,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
54,Yes,1/5/2012,1,2012,4,2012,VFA-22,F/A-18F,166811,HAZREP,Moderate Low,1325836083350,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
53,Yes,1/5/2012,1,2012,4,2012,VFA-137,F/A-18E,165898,HAZREP,Minor,1326159940005,,,Yes,Yes,Yes,,N/A,Closed,AOS,Failed Breathing Gas Delivery Component/Tube,1,,,,,,,
,Yes,1/9/2012,1,2012,4,2012,VT-21,T-45C,167102,D,,1327021453253,,,N/A,N/A,N/A,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
55,Yes,1/10/2012,1,2012,4,2012,VMFA-323,F/A-18C,164873,HAZREP,Severe,1328310740515,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
,No,1/17/2012,1,2012,4,2012,,F/A-18C,164719,HAZREP,,1330749259883,,,N/A,N/A,N/A,,N/A,Closed,ECS,Human Factors secondary,2,,,,,,,
56,Yes,1/17/2012,1,2012,4,2012,VFA-15,F/A-18C,164630,HAZREP,Moderate Low,1328028176915,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
58,Yes,1/24/2012,1,2012,4,2012,VFA-81,F/A-18E,166841,HAZREP,Minor,1329657236260,,,Yes,Yes,Yes,,N/A,Closed,AOS,Failed Breathing Gas Delivery Component/Tube,1,,,,,,,
57,Yes,1/24/2012,1,2012,4,2012,VFA-213,F/A-18F,166682,HAZREP,Minor,1329933306504,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
,No,1/24/2012,1,2012,4,2012,TW-5,T-6B,166085,HAZREP,,1329142400803,,,N/A,N/A,N/A,,N/A,Closed,Other,G-LOC,1,,,,,,,
60,Yes,2/3/2012,2,2012,5,2012,VFA-122,F/A-18E,165538,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
59,Yes,2/4/2012,2,2012,5,2012,VFA-25,F/A-18C,164639,HAZREP,Moderate High,,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
68,Yes,2/6/2012,2,2012,5,2012,VFA-113,F/A-18C,164676,HAZREP,Moderate High,1328806136044,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
61,Yes,2/10/2012,2,2012,5,2012,VMFA-122,F/A-18C,164204,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
62,Yes,2/13/2012,2,2012,5,2012,VX-9,F/A-18F,166980,HAZREP,Moderate Low,1330363647846,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
63,Yes,2/22/2012,2,2012,5,2012,VMFA-312,F/A-18C,164973,HAZREP,Moderate Low,1330024815582,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
64,Yes,2/24/2012,2,2012,5,2012,VFA-122,F/A-18F,166801,HAZREP,Minor,1330634994149,,,Yes,Yes,No,,N/A,Closed,AOS,Failed Breathing Gas Delivery Component/Tube,1,,,,,,,
65,Yes,2/26/2012,2,2012,5,2012,VFA-154,F/A-18F,166876,HAZREP,Minor,1330471674273,,,Yes,Yes,Yes,,N/A,Closed,Other,Inconclusive,1,,,,,,,
66,Yes,2/29/2012,2,2012,5,2012,VMFA(AW)-225,F/A-18D,165412,HAZREP,Minor,1332870209589,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
67,Yes,3/7/2012,3,2012,6,2012,VFA-113,F/A-18C,164658,HAZREP,Moderate High,1331400770997,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
69,Yes,3/11/2012,3,2012,6,2012,VFA-2,F/A-18F,165924,,Minor,,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
70,Yes,3/12/2012,3,2012,6,2012,RAAF-1,F/A-18F,167968,HAZREP,Moderate Low,,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
71,Yes,3/26/2012,3,2012,6,2012,VFA-87,F/A-18A,162904,HAZREP,Moderate Low,1333115363467,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
72,Yes,4/7/2012,4,2012,7,2012,VFA-122,F/A-18F,165882,HAZREP,Moderate Low,1334691138155,,,Yes,No,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
73,Yes,4/8/2012,4,2012,7,2012,VMFA-251,F/A-18C,164881,HAZREP,Minor,1334064762171,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
74,Yes,4/23/2012,4,2012,7,2012,USNTPS,F/A-18F,165542,HAZREP,Minor,1335376072144,,,Yes,Yes,Yes,,N/A,Closed,AOS,Failed Breathing Gas Delivery Component/Tube,1,,,,,,,
75,Yes,4/23/2012,4,2012,7,2012,VMFA-251,F/A-18C,164946,HAZREP,Moderate Low,,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
1T,Yes,4/26/2012,4,2012,7,2012,VT-9,T-45C,165482,HAZREP,,,,,Yes,No,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
76,Yes,4/29/2012,4,2012,7,2012,VFA-136,F/A-18E,166818,HAZREP,Minor,1335955521634,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
,Yes,5/2/2012,5,2012,8,2012,VFC-111,F-5N,761550,HAZREP,,1337040559089,,,N/A,N/A,N/A,,N/A,Closed,ECS,"Cabin Outflow Valve, Mask",1,,,,,,,
,No,5/2/2012,5,2012,8,2012,VT-28,T-34C,164168,HAZREP,,1337638449951,,,N/A,N/A,N/A,,N/A,Closed,Other,Mask Seal,1,,,,,,,
77,Yes,5/2/2012,5,2012,8,2012,VMFAT-101,F/A-18D,163734,HAZREP,Minor,1337709571336,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
78,Yes,5/15/2012,5,2012,8,2012,VX-9,F/A-18F,166925,HAZREP,Moderate Low,1337122488574,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,3,,,,,,,
79,Yes,5/15/2012,5,2012,8,2012,VMFAT-101,F/A-18C,163440,HAZREP,Minor,1337727206423,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
81,Yes,5/29/2012,5,2012,8,2012,VFC-12,F/A-18C,164691,HAZREP,Minor,1338395054799,,,Yes,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
80,Yes,5/30/2012,5,2012,8,2012,VFA-146,F/A-18C,163741,,Minor,,,,Yes,No,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
82,Yes,5/31/2012,5,2012,8,2012,VMFA-312,F/A-18C,164975,HAZREP,Minor,,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
83,Yes,6/9/2012,6,2012,9,2012,VFA-11,F/A-18F,166623,HAZREP,Moderate High,1340127004568,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
84,Yes,6/11/2012,6,2012,9,2012,VFA-11,F/A-18F,166623,HAZREP,Minor,1340483128958,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,2,,,,,,,
85,Yes,6/15/2012,6,2012,9,2012,VFA-27,F/A-18E,165862,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
87,Yes,6/18/2012,6,2012,9,2012,VFA-81,F/A-18E,166831,HAZREP,Minor,1341846434453,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,2,,,,,,,
86,Yes,6/18/2012,6,2012,9,2012,VFA-151,F/A-18C,164701,HAZREP,Minor,1341621381259,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
,No,6/27/2012,6,2012,9,2012,VFA-41,F/A-18F,166849,HAZREP,,1340930644495,,,No,No,No,,N/A,Closed,Other,Human Factors,1,,,,,,,
88,Yes,7/7/2012,7,2012,10,2012,VFA-143,F/A-18E,166609,HAZREP,Minor,1345219006825,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
89,Yes,7/24/2012,7,2012,10,2012,VX-23,F/A-18E,165537,HAZREP,Moderate High,1345736413323,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
90,Yes,8/13/2012,8,2012,11,2012,VFA-41,F/A-18F,166844,HAZREP,Moderate Low,1344973008209,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
93,Yes,8/14/2012,8,2012,11,2012,VFA-154,F/A-18F,166884,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,Other,Inconclusive,1,,,,,,,
91,Yes,8/15/2012,8,2012,11,2012,VAQ-135,EA-18G,166944,HAZREP,Minor,1345196507444,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
92,Yes,8/16/2012,8,2012,11,2012,RAAF-1,F/A-18F,167971,A,Moderate Low,,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
,No,9/1/2012,9,2012,12,2012,VMFA-323,F/A-18C,164724,A,,1346556433078,,,N/A,N/A,N/A,,N/A,Closed,ECS,"AV AIR DEGD, AV AIR HOT, Dual Bleed Warnings",1,,,,,,,
94,Yes,9/5/2012,9,2012,12,2012,VFA-122,F/A-18E,165538,HAZREP,Minor,1347390420995,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,2,,,,,,,
95,Yes,9/17/2012,9,2012,12,2012,VFA-102,F/A-18F,166917,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
96,Yes,9/30/2012,9,2012,12,2012,VFA-81,F/A-18E,166834,HAZREP,Minor,1349196528359,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
2T,Yes,10/5/2012,10,2012,1,2013,VT-22,T-45C,167074,HAZREP,,,,,Yes,No,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
98,Yes,10/10/2012,10,2012,1,2013,VFA-122,F/A-18F,166975,HAZREP,Minor,1350059520491,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
97,Yes,10/10/2012,10,2012,1,2013,VFA-87,F/A-18C,164632,HAZREP,Minor,1353451617933,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
99,Yes,10/14/2012,10,2012,1,2013,VFA-103,F/A-18F,166619,HAZREP,Minor,1350721597997,,,Yes,Yes,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
,No,10/20/2012,10,2012,1,2013,VX-23,F-35C,200101,B,,1350925009290,,,N/A,N/A,N/A,,N/A,Closed,Other,Ground Turn Contamination,1,,,,,,,
100,Yes,11/6/2012,11,2012,2,2013,VFA-147,F/A-18E,166442,B,Severe,1353957761078,,,Yes,No,No,,N/A,Closed,Other,Human Factors,1,,,,,,,
5T,Yes,11/9/2012,11,2012,2,2013,VT-22,T-45C,167089,,,,,,No,No,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
108,Yes,11/12/2012,11,2012,2,2013,RAAF-6,F/A-18F,167970,,Minor,,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
109,Yes,11/12/2012,11,2012,2,2013,RAAF-6,F/A-18E,167959,,Moderate Low,,,,Yes,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
3T,Yes,11/13/2012,11,2012,2,2013,TW-1?,T-45C,165477,HAZREP,,,,,No,No,No,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
101,Yes,11/18/2012,11,2012,2,2013,VFA-14,F/A-18E,166428,HAZREP,Moderate Low,1353868735492,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
4T,Yes,11/19/2012,11,2012,2,2013,VT-21,T-45C,167095,HAZREP,,,,,Yes,No,No,,N/A,Closed,Other,ALSS Failure,1,,,,,,,
6T,Yes,11/26/2012,11,2012,2,2013,VT-9,T-45C,165607,,,,,,No,No,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
102,Yes,11/28/2012,11,2012,2,2013,VAQ-129,EA-18G,168255,HAZREP,Minor,,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
7T,Yes,11/28/2012,11,2012,2,2013,VT-21,T-45C,167099,HAZREP,,,,,No,No,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
103,Yes,12/3/2012,12,2012,3,2013,VFA-94,F/A-18C,164197,HAZREP,Moderate Low,1355243321912,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
104,Yes,12/3/2012,12,2012,3,2013,VFA-94,F/A-18C,164197,HAZREP,Unknown,1355243321912,,,Yes,Yes,No,,N/A,Closed,Other,Human Factors,2,,,,,,,
8T,Yes,12/3/2012,12,2012,3,2013,VT-22,T-45C,163656,,,,,,No,Yes,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
,No,12/4/2012,12,2012,3,2013,VMFAT-101,F/A-18C,163505,HAZREP,,1355178361119,,,No,No,No,,N/A,Closed,AOS,LOX Leak,1,,,,,,,
106,Yes,12/6/2012,12,2012,3,2013,VFA-31,F/A-18E,166780,HAZREP,Minor,1351788560557,,,Yes,Yes,No,,N/A,Closed,Other,Human Factors,1,,,,,,,
107,Yes,12/8/2012,12,2012,3,2013,VFA-105,F/A-18E,166648,HAZREP,Minor,1355955619789,,,Yes,Yes,Yes,,N/A,Closed,AOS,AOS Component Failure,1,,,,,,,
9T,Yes,1/2/2013,1,2013,4,2013,VT-21,T-45C,165638,HAZREP,,,,,No,No,No,,N/A,Closed,Other,Inconclusive,1,,,,,,,
110,Yes,1/2/2013,1,2013,4,2013,VX-23,F/A-18E,165533,HAZREP,Moderate Low,1351856067374,,,Yes,Yes,Yes,,N/A,Closed,AOS,Contamination,1,,,,,,,
117,Yes,1/3/2013,1,2013,4,2013,VFA-122,F/A-18F,165801,HAZREP,Minor,1357582501162,,,No,Yes,No,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
10T,Yes,1/3/2013,1,2013,4,2013,VT-21,T-45C,163656,HAZREP,,,,,No,Yes,No,,N/A,Closed,AOS,AOS Component Failure,2,,,,,,,
111,Yes,1/8/2013,1,2013,4,2013,VMFA-323,F/A-18C,164733,HAZREP,Minor,1357746840664,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
112,Yes,1/9/2013,1,2013,4,2013,VMFA(AW)-225,F/A-18D,164651,HAZREP,Moderate High,1357780508156,,,Yes,Yes,Yes,,N/A,Closed,Other,Human Factors,1,,,,,,,
113,Yes,1/10/2013,1,2013,4,2013,VFA-122,F/A-18E,165538,HAZREP,Minor,1360694415944,,,Yes,Yes,Yes,,N/A,Closed,Other,Inconclusive,3,,,,,,,
114,Yes,1/15/2013,1,2013,4,2013,VX-31,F/A-18F,166968,HAZREP,Moderate Low,1358361773796,,,Yes,Yes,No,,N/A,Closed,AOS,Contamination,1,,,,,,,
115,Yes,1/23/2013,1,2013,4,2013,VFA-14,F/A-18E,166433,HAZREP,Moderate High,,,,Yes,Yes,Yes,,N/A,Closed,ECS,ECS Component Failure,1,,,,,,,
